date,site_id,influent_bod,influent_cod,influent_tss,effluent_bod,effluent_cod,effluent_tss,nh4,no3,po4,flow_m3d,temperature_c,aeration_kwh,energy_kwh
2019-03-03,WWTP_01,39.23,165.32,65.83,3.44,29.56,14.77,1.57,8.94,1.89,2339.62,28.69,143.01,1271.29
2019-03-04,WWTP_01,39.54,160.49,64.11,4.7,33.21,16.09,1.91,7.78,0.88,3279.56,28.95,164.37,1769.4
2019-03-05,WWTP_01,39.29,167.76,64.26,5.3,37.16,17.01,1.87,7.66,2.05,3564.59,29.09,87.77,2057.74
2019-03-06,WWTP_01,35.54,156.99,66.13,3.91,31.23,16.1,2.46,9.02,1.1,3344.92,30.05,125.88,1778.06
2019-03-07,WWTP_01,37.77,170.8,67.41,2.18,25.96,13.42,3.08,4.26,1.82,3426.86,31.68,190.16,1852.46
2019-03-08,WWTP_01,37.52,164.83,73.28,4.13,32.81,17.85,1.45,5.37,2.21,1018.53,29.65,100.02,694.51
2019-03-09,WWTP_01,33.08,158.79,67.57,3.81,32.36,16.76,3.17,6.08,1.23,2809.76,28.22,124.76,1502.36
2019-03-10,WWTP_01,39.35,159.26,68.94,3.41,28.36,15.43,1.36,7.36,1.16,4844.28,25.12,72.3,2414.53
2019-03-11,WWTP_01,37.44,160.24,66.2,3.39,29.07,15.02,1.5,7.89,1.21,4592.22,27.77,55.48,2296.91
2019-03-12,WWTP_01,42.92,153.62,69.91,4.55,30.01,16.78,2.34,6.76,1.12,1727.71,23.69,179.27,1028.14
2019-03-13,WWTP_01,38.86,165.29,61.78,4.24,32.76,15.0,1.41,4.35,2.08,3635.7,30.54,52.96,1757.9
2019-03-14,WWTP_01,38.02,159.53,67.28,4.8,34.07,17.31,1.6,4.88,2.1,4422.79,27.08,174.53,2550.57
2019-03-15,WWTP_01,35.82,156.39,62.98,2.16,24.14,12.68,1.39,3.94,1.22,1106.13,29.92,113.21,541.17
2019-03-16,WWTP_01,35.37,155.46,69.76,4.36,32.78,17.77,2.92,5.89,1.81,2744.51,25.84,94.17,1563.61
2019-03-17,WWTP_01,37.8,158.37,69.86,5.59,36.9,19.25,2.04,6.69,1.95,2031.55,29.76,197.66,1195.04
2019-03-18,WWTP_01,35.3,161.01,60.95,3.34,29.81,14.04,3.0,8.43,1.23,1043.98,30.59,70.53,754.58
2019-03-19,WWTP_01,41.03,154.4,67.38,2.4,23.58,13.46,2.42,5.75,1.76,1187.86,30.59,62.42,583.78
2019-03-20,WWTP_01,35.04,163.93,61.29,4.01,33.28,15.16,3.17,5.24,1.85,2904.2,28.01,149.55,1611.18
2019-03-21,WWTP_01,38.27,164.1,61.32,5.54,37.8,16.75,2.62,7.05,1.45,4083.65,29.6,153.26,2372.16
2019-03-22,WWTP_01,34.81,158.07,67.38,2.8,27.26,14.72,2.06,7.01,1.5,1366.33,30.78,187.6,738.83
2019-03-23,WWTP_01,37.48,166.87,66.25,2.88,28.22,14.26,3.4,7.43,2.07,4396.78,29.63,83.18,2115.48
2019-03-24,WWTP_01,39.58,161.3,67.24,2.09,23.81,13.11,3.75,6.33,2.36,4378.2,29.38,97.87,2146.45
2019-03-25,WWTP_01,38.95,154.26,69.74,3.02,26.19,15.06,1.55,5.38,1.81,4162.89,31.91,182.9,2115.79
2019-03-26,WWTP_01,35.26,164.04,68.06,2.47,26.76,14.26,3.89,5.59,2.2,2607.72,29.98,121.98,1517.83
2019-03-27,WWTP_01,38.59,150.44,60.65,2.94,25.37,13.03,1.99,4.15,1.5,2148.96,27.9,56.31,1054.01
2019-03-28,WWTP_01,34.1,153.29,62.72,1.88,22.92,12.34,3.36,4.03,1.61,4516.47,31.3,191.71,2680.92
2019-03-29,WWTP_01,36.65,167.55,70.8,3.62,31.64,16.56,1.97,4.56,1.27,1745.75,28.69,58.68,1050.45
2019-03-30,WWTP_01,37.23,153.51,68.32,5.01,33.95,18.07,3.44,4.84,1.28,3147.9,32.07,138.94,1628.88
2019-03-31,WWTP_01,38.31,158.38,67.69,5.25,35.37,18.04,3.62,9.23,2.37,4238.06,31.31,63.05,2383.1
2019-04-01,WWTP_01,34.48,153.01,68.59,3.46,29.13,16.14,1.6,4.82,2.06,1304.52,28.1,177.68,481.86
2019-04-02,WWTP_01,36.24,167.79,66.97,4.18,34.18,16.6,3.1,6.89,1.35,4514.52,31.18,177.59,2545.72
2019-04-03,WWTP_01,38.79,164.85,67.45,3.18,28.65,14.82,2.95,8.02,1.17,4523.48,31.71,180.78,2405.49
2019-04-04,WWTP_01,36.31,156.42,67.42,2.48,25.24,14.02,3.48,6.54,0.91,2148.15,30.38,144.77,1223.49
2019-04-05,WWTP_01,39.48,152.45,70.42,5.5,34.36,18.9,3.3,6.75,2.54,2367.49,30.41,144.89,1346.19
2019-04-06,WWTP_01,38.79,159.43,64.72,3.07,27.3,14.06,1.57,6.99,1.49,3483.66,28.85,163.74,1943.29
2019-04-07,WWTP_01,37.71,148.33,68.13,3.97,28.91,16.32,2.08,9.48,1.62,2805.55,32.11,74.54,1542.18
2019-04-08,WWTP_01,39.94,167.27,69.86,4.9,35.19,17.76,3.77,4.4,1.63,4774.46,33.62,109.64,2389.86
2019-04-09,WWTP_01,39.76,159.29,63.79,5.84,36.99,17.53,3.02,5.7,2.37,2892.84,28.56,195.23,1668.62
2019-04-10,WWTP_01,37.49,164.76,68.08,2.46,26.19,14.0,3.29,7.24,1.12,1130.1,30.26,169.48,805.43
2019-04-11,WWTP_01,35.89,160.21,67.03,3.84,31.44,16.15,1.89,6.43,1.0,3327.89,28.32,90.35,1690.83
2019-04-12,WWTP_01,39.93,158.83,65.82,5.7,36.29,17.86,2.37,6.36,1.91,2166.65,31.36,166.98,1292.85
2019-04-13,WWTP_01,37.88,157.05,65.1,1.94,22.96,12.61,1.74,6.47,1.94,3809.86,28.94,133.95,1951.25
2019-04-14,WWTP_01,38.0,158.85,65.62,5.4,36.21,17.77,2.37,4.27,1.85,3757.86,28.55,75.12,2011.31
2019-04-15,WWTP_01,38.46,155.66,71.3,2.42,,,3.16,8.27,1.46,4259.3,30.36,62.02,2203.12
2019-04-16,WWTP_01,39.8,159.24,69.81,3.41,28.2,15.55,2.69,7.85,1.02,1241.41,28.28,180.77,753.08
2019-04-17,WWTP_01,35.82,157.24,67.7,3.59,29.9,15.92,2.76,7.77,1.27,4985.34,31.78,196.22,2576.1
2019-04-18,WWTP_01,39.0,157.38,66.46,5.73,36.55,18.27,2.01,6.22,2.35,3908.68,28.49,101.89,2213.63
2019-04-19,WWTP_01,34.73,172.38,65.5,2.18,26.96,13.31,3.61,5.97,1.35,3369.4,32.94,186.85,1924.84
2019-04-20,WWTP_01,35.34,168.61,68.13,4.84,37.63,18.14,3.15,8.88,1.18,1950.17,29.25,87.08,1179.44
2019-04-21,WWTP_01,37.51,166.7,59.08,3.4,30.28,13.42,1.76,5.77,2.52,2032.53,29.7,148.51,1275.55
2019-04-22,WWTP_01,36.39,150.96,64.95,5.19,34.48,17.62,1.77,6.53,1.44,4315.53,26.03,142.57,2257.53
2019-04-23,WWTP_01,36.12,163.4,68.29,3.7,31.42,16.2,3.45,8.24,1.86,4473.09,31.5,80.88,2284.73
2019-04-24,WWTP_01,36.67,160.54,63.67,2.07,24.19,12.6,1.44,4.13,1.63,4735.5,29.12,56.24,2224.17
2019-04-25,WWTP_01,38.03,162.93,65.31,3.74,30.73,15.26,2.55,7.39,1.09,1119.89,31.04,96.19,562.29
2019-04-26,WWTP_01,39.02,161.85,63.74,4.12,31.57,15.28,3.5,4.44,2.03,4352.46,29.06,124.58,2337.3
2019-04-27,WWTP_01,39.64,162.0,64.32,2.26,24.5,,3.04,7.42,1.21,3635.54,28.79,109.08,1849.69
2019-04-28,WWTP_01,38.28,166.15,64.89,2.75,27.35,13.69,2.73,7.79,2.34,2616.56,30.93,171.18,1356.7
2019-04-29,WWTP_01,39.11,163.9,69.5,5.4,36.74,18.58,2.67,3.38,1.39,2465.85,27.91,109.43,1253.83
2019-04-30,WWTP_01,40.75,150.74,64.69,4.59,30.36,15.9,1.87,3.77,1.86,3672.85,26.94,106.97,2168.64
2019-05-01,WWTP_01,37.74,166.77,64.22,4.37,34.07,15.96,2.24,5.71,1.81,3134.41,28.16,141.19,1776.39
2019-05-02,WWTP_01,38.75,158.46,66.73,2.22,24.02,13.26,1.44,8.91,1.42,1405.68,24.69,92.73,785.74
2019-05-03,WWTP_01,39.51,156.24,59.79,3.52,28.13,13.49,3.07,4.93,1.52,1487.54,28.74,77.17,724.02
2019-05-04,WWTP_01,38.65,170.98,66.17,5.38,38.54,17.76,2.69,4.82,2.45,2934.18,28.26,56.51,1660.02
2019-05-05,WWTP_01,38.46,160.7,69.09,2.37,24.98,13.98,1.83,4.54,1.85,2644.11,28.45,175.98,1470.5
2019-05-06,WWTP_01,38.99,164.3,63.35,4.78,34.55,16.1,3.31,5.8,1.94,1382.14,25.87,137.99,1043.58
2019-05-07,WWTP_01,38.51,155.37,64.36,5.41,35.17,17.34,1.3,7.09,1.83,3186.79,28.3,84.79,1824.14
2019-05-08,WWTP_01,34.06,161.62,65.38,4.64,36.0,17.39,2.97,5.65,1.52,3870.39,28.39,91.12,2189.16
2019-05-09,WWTP_01,35.2,155.42,63.6,3.45,29.26,14.84,1.39,8.01,1.18,3160.05,26.7,182.01,1808.3
2019-05-10,WWTP_01,41.61,152.6,61.63,3.46,26.67,13.59,3.7,7.17,1.73,3922.6,25.53,134.34,2090.07
2019-05-11,WWTP_01,35.36,163.37,62.55,3.71,31.77,14.96,3.1,5.26,1.9,4181.8,26.95,189.08,2226.59
2019-05-12,WWTP_01,34.49,159.98,67.6,2.27,25.47,13.92,2.5,6.9,0.92,4021.08,26.89,167.3,2162.6
2019-05-13,WWTP_01,35.13,154.16,63.12,1.98,23.23,12.49,2.57,4.98,1.43,2788.81,25.98,140.09,1618.13
2019-05-14,WWTP_01,37.3,160.95,65.19,2.42,25.49,13.37,1.7,8.71,0.95,4269.8,28.13,180.21,2286.08
2019-05-15,WWTP_01,38.34,162.99,63.64,4.21,32.39,15.48,1.6,7.28,1.33,4902.44,25.65,146.15,2574.85
2019-05-16,WWTP_01,37.57,174.13,64.23,2.76,28.93,13.65,1.59,6.11,1.42,1585.5,24.72,53.87,827.92
2019-05-17,WWTP_01,38.15,159.61,59.69,3.79,30.24,13.99,2.24,3.71,1.82,1864.15,24.47,142.94,978.36
2019-05-18,WWTP_01,37.93,155.1,64.87,1.92,22.56,12.52,1.28,7.23,2.4,1956.72,24.36,153.82,1101.94
2019-05-19,WWTP_01,37.09,154.8,60.42,3.25,27.69,13.56,2.44,5.6,0.94,4546.42,27.22,117.47,2339.97
2019-05-20,WWTP_01,34.68,166.37,64.03,2.66,28.11,13.78,3.04,3.09,1.42,2925.38,24.12,130.3,1632.17
2019-05-21,WWTP_01,35.0,158.88,59.06,2.29,25.26,12.15,1.35,5.93,0.96,2298.7,29.14,160.6,1079.69
2019-05-22,WWTP_01,36.06,153.76,58.08,2.58,25.27,12.24,3.32,8.71,2.03,2261.63,23.62,88.2,1401.62
2019-05-23,WWTP_01,36.73,164.47,69.1,2.22,25.4,13.92,2.67,6.65,0.8,3073.63,27.06,72.53,1618.21
2019-05-24,WWTP_01,40.31,157.51,65.1,5.71,35.81,17.6,2.86,3.38,0.8,1048.43,21.74,102.46,529.51
2019-05-25,WWTP_01,38.19,165.77,63.43,5.35,37.49,17.07,2.7,7.51,1.12,1083.78,23.36,62.33,664.93
2019-05-26,WWTP_01,39.41,151.25,63.24,5.43,33.89,16.9,2.58,7.55,1.76,3121.21,22.74,197.0,1850.38
2019-05-27,WWTP_01,39.66,169.5,66.94,3.35,29.82,14.84,1.35,4.91,2.23,1898.46,25.0,105.83,881.28
2019-05-28,WWTP_01,32.81,162.12,65.1,4.13,34.59,16.73,1.32,4.05,2.15,3583.24,25.33,179.21,1912.52
2019-05-29,WWTP_01,38.34,153.69,68.26,2.96,26.04,14.72,2.94,6.78,0.94,3180.11,23.11,197.7,1778.32
2019-05-30,WWTP_01,36.45,163.39,66.31,4.69,35.26,17.2,2.26,7.86,1.87,3168.95,23.66,94.63,1939.27
2019-05-31,WWTP_01,40.2,162.19,65.52,2.97,27.0,13.94,1.38,5.57,0.63,1986.72,24.76,158.97,1281.13
2019-06-01,WWTP_01,35.68,159.94,60.29,,27.03,12.97,2.5,3.9,1.21,4135.17,22.47,164.15,2233.2
2019-06-02,WWTP_01,33.59,151.67,63.08,2.09,23.68,12.8,3.44,4.96,1.36,3888.28,20.88,182.93,1957.19
2019-06-03,WWTP_01,39.35,168.33,62.15,5.89,39.51,17.23,2.49,4.86,1.94,1371.96,21.19,146.35,1088.15
2019-06-04,WWTP_01,36.65,154.05,69.94,3.29,27.83,15.82,2.62,7.54,1.04,4300.2,25.84,124.74,2386.43
2019-06-05,WWTP_01,35.05,163.8,66.35,3.44,30.87,15.5,2.01,3.57,1.13,2736.08,21.67,139.73,1495.6
2019-06-06,WWTP_01,36.68,161.5,69.85,2.62,26.53,14.72,1.19,5.12,1.99,2535.33,19.45,135.78,1278.11
2019-06-07,WWTP_01,36.95,149.5,60.69,5.45,34.78,16.71,0.94,7.63,1.02,3072.32,22.02,88.89,1610.29
2019-06-08,WWTP_01,38.28,156.73,63.06,,25.51,13.2,2.01,5.51,0.77,1322.41,21.94,159.19,533.27
2019-06-09,WWTP_01,35.84,163.23,66.45,4.81,36.02,17.54,2.38,3.4,1.81,3627.82,20.7,89.26,1882.8
2019-06-10,WWTP_01,36.82,156.43,61.55,2.73,26.07,13.11,1.96,7.23,0.64,2950.28,18.82,55.04,1540.35
2019-06-11,WWTP_01,33.8,147.11,60.94,2.03,22.66,12.25,0.88,6.53,2.15,3240.67,17.3,159.62,1727.05
2019-06-12,WWTP_01,33.8,161.01,59.98,1.78,23.75,11.69,2.33,4.62,0.7,1604.99,25.01,83.8,949.59
2019-06-13,WWTP_01,35.07,163.64,71.92,4.86,36.77,19.26,2.95,6.83,0.61,3831.34,18.29,118.75,2043.03
2019-06-14,WWTP_01,33.39,157.12,62.53,3.63,31.1,15.16,2.41,5.74,0.59,3050.01,23.72,170.96,1631.24
2019-06-15,WWTP_01,35.75,153.62,65.64,4.44,32.53,16.77,1.18,4.43,1.76,3077.54,20.1,181.94,1695.47
2019-06-16,WWTP_01,35.1,160.39,64.73,2.56,26.55,13.72,0.82,2.81,1.26,4636.88,19.14,130.81,2351.9
2019-06-17,WWTP_01,35.76,163.47,65.25,4.0,32.82,16.0,2.68,8.18,0.8,3093.32,20.79,136.64,1616.48
2019-06-18,WWTP_01,38.1,160.39,65.98,3.68,30.0,15.32,1.12,6.55,1.8,2267.05,18.32,178.58,1285.55
2019-06-19,WWTP_01,36.64,153.81,62.08,2.22,23.77,12.51,2.34,3.26,1.19,3461.19,18.5,195.07,2066.89
2019-06-20,WWTP_01,36.15,156.75,67.03,4.82,34.49,17.65,2.9,4.89,0.7,1050.43,21.07,133.96,838.47
2019-06-21,WWTP_01,36.02,152.11,65.32,2.31,24.0,13.36,2.72,5.54,1.63,2257.4,20.58,118.89,1235.78
2019-06-22,WWTP_01,35.34,143.43,61.98,4.69,31.46,16.29,2.44,7.23,0.58,1959.5,19.68,71.3,984.77
2019-06-23,WWTP_01,31.41,161.37,67.2,2.76,28.9,15.1,1.53,7.29,1.2,4916.42,15.63,151.43,2642.07
2019-06-24,WWTP_01,37.81,149.98,62.17,2.51,23.95,12.83,1.33,6.08,1.57,3050.62,18.24,95.8,1723.97
2019-06-25,WWTP_01,32.73,160.98,65.33,2.73,28.2,14.44,1.27,7.64,1.52,3241.76,16.67,119.05,1642.48
2019-06-26,WWTP_01,35.6,163.16,64.03,4.95,36.72,17.17,1.66,2.42,1.62,4672.31,16.55,92.01,2384.64
2019-06-27,WWTP_01,36.77,157.66,64.17,2.56,25.63,13.42,0.63,7.92,1.59,2219.0,15.35,180.91,1371.22
2019-06-28,WWTP_01,35.89,152.53,60.44,4.52,32.52,15.53,0.6,4.93,0.86,3393.43,16.34,94.59,1896.31
2019-06-29,WWTP_01,33.43,158.9,65.82,3.03,28.86,14.95,2.78,3.2,0.47,1958.04,16.04,59.55,1154.75
2019-06-30,WWTP_01,35.81,163.23,63.86,2.4,26.18,13.22,2.74,5.5,1.21,2721.71,16.93,97.54,1605.8
2019-07-01,WWTP_01,34.36,161.49,63.71,3.63,31.51,15.28,2.04,5.83,1.32,3810.54,15.54,65.63,1810.7
2019-07-02,WWTP_01,34.49,141.68,64.24,3.1,25.64,14.55,2.37,5.05,1.38,1283.73,15.42,88.16,686.06
2019-07-03,WWTP_01,30.54,154.7,56.71,3.98,33.62,14.79,2.02,3.67,0.65,3066.29,14.25,170.39,1628.32
2019-07-04,WWTP_01,35.86,172.33,63.99,3.96,34.34,15.6,0.69,5.66,0.48,2380.89,14.25,126.11,1314.7
2019-07-05,WWTP_01,37.0,153.47,60.85,4.09,30.62,14.85,1.52,4.4,1.82,3856.13,11.19,173.57,2191.14
2019-07-06,WWTP_01,35.09,152.1,60.63,3.92,30.49,14.85,1.59,4.12,0.47,2675.79,14.78,162.68,1551.76
2019-07-07,WWTP_01,34.41,163.07,66.18,3.92,33.01,16.33,1.91,1.94,1.33,4653.15,15.75,158.6,2513.88
2019-07-08,WWTP_01,34.81,151.16,57.56,3.53,28.91,13.6,1.86,2.12,0.45,3234.57,12.29,101.48,1804.31
2019-07-09,WWTP_01,37.22,158.38,65.14,3.98,31.09,15.7,2.08,3.48,0.75,4155.94,16.11,173.36,2226.33
2019-07-10,WWTP_01,30.96,151.32,57.05,2.78,27.37,12.92,2.15,5.94,0.86,1667.44,15.41,114.58,851.86
2019-07-11,WWTP_01,33.68,155.7,62.02,2.91,27.66,13.85,1.22,2.21,0.91,2244.87,14.74,104.69,1388.68
2019-07-12,WWTP_01,38.28,152.55,62.31,5.64,35.47,17.15,1.62,7.54,0.86,1155.98,10.26,54.64,522.82
2019-07-13,WWTP_01,33.72,144.43,61.34,2.02,22.24,12.33,0.63,7.47,0.73,4553.61,14.65,197.6,2511.37
2019-07-14,WWTP_01,31.31,146.25,63.94,4.21,32.34,16.9,1.71,4.96,1.48,4334.6,7.97,116.07,2177.03
2019-07-15,WWTP_01,32.59,147.53,59.7,1.74,21.84,11.66,1.7,3.76,1.16,1556.79,15.95,123.33,809.79
2019-07-16,WWTP_01,34.87,160.42,68.13,4.53,34.79,17.74,1.28,1.89,0.97,3172.1,13.8,84.16,1696.8
2019-07-17,WWTP_01,37.78,152.77,63.04,2.67,24.98,13.24,0.97,6.89,1.76,1595.18,12.05,122.51,917.18
2019-07-18,WWTP_01,34.7,161.15,57.8,4.5,34.92,15.04,2.17,3.92,1.01,2969.3,9.36,136.59,1740.64
2019-07-19,WWTP_01,33.47,157.28,66.57,1.82,23.43,13.06,0.75,2.24,1.58,2756.6,11.98,143.99,1228.25
2019-07-20,WWTP_01,38.01,153.27,64.91,5.19,34.16,17.27,0.98,3.71,1.49,2115.04,12.75,81.61,1085.56
2019-07-21,WWTP_01,35.76,157.74,64.15,4.85,35.04,17.02,2.1,6.14,1.23,4064.46,11.01,63.29,2202.54
2019-07-22,WWTP_01,32.35,154.43,57.03,4.64,35.37,15.51,1.08,2.17,1.48,4790.75,6.79,60.85,2459.24
2019-07-23,WWTP_01,35.16,151.72,61.24,3.51,28.82,14.39,2.18,5.72,0.18,1291.61,6.6,84.86,654.39
